YEAR,COUNTRY,No. of Visitors
2014,United States,1118983
2014,Bangladesh,942562
2014,United Kingdom,838860
2014,Sri Lanka,301601
2014,Russian Fed,269832
2014,Canada,268485
2014,Malyasia,262026
2014,France,246101
2014,Australia,239762
2014,Germany,239106
2015,United States,1213624
2015,Bangladesh,1133879
2015,United Kingdom,867601
2015,Sri Lanka,299513
2015,Canada,281306
2015,Malyasia,272941
2015,Australia,263101
2015,Germany,248314
2015,France,230854
2015,Japan,207415
2016,Bangladesh,1380409
2016,United States,1296939
2016,United Kingdom,941883
2016,Canada,317239
2016,Malyasia,301961
2016,Sri Lanka,297418
2016,Australia,293625
2016,Germany,265928
2016,China,251313
2016,France,238707
2017,Bangladesh,2156557
2017,United States,1376919
2017,United Kingdom,986296
2017,Canada,335439
2017,Australia,324243
2017,Malyasia,322126
2017,Sri Lanka,303590
2017,Russian Fed,278904
2017,Germany,269380
2017,France,249620
2018,Bangladesh,2256675
2018,United States,1456678
2018,United Kingdom,1029758
2018,Sri Lanka,353684
2018,Canada,351040
2018,Australia,346486
2018,Malyasia,319172
2018,China,281768
2018,Germany,274087
2018,Russian Fed,262309
2019,Bangladesh,2577727
2019,United States,1512032
2019,United Kingdom,1000292
2019,Australia,367241
2019,Canada,351859
2019,China,339442
2019,Malyasia,334579
2019,Sri Lanka,330861
2019,Germany,264973
2019,Russian Fed,251319
2020,Bangladesh,549273
2020,United States,394092
2020,United Kingdom,291874
2020,Canada,122868
2020,Russian Fed,102166
2020,Australia,86758
2020,France,74243
2020,Germany,72558
2020,Malyasia,69897
2020,Sri Lanka,68646
