YEAR,STATES,VISITORS
2014,TAMIL NADU,327555233
2014,UTTAR PRADESH,182820108
2014,KARNATAKA,118283220
2014,MAHARASHTRA,94127124
2014,ANDHRA PRADESH,93306974
2014,TELENGANA,72399113
2014,MADHYA PRADESH,63614525
2014,WEST BENGAL,49029590
2014,JHARKHAND ,33427144
2014,RAJASTHAN,33076491
2015,TAMIL NADU,333459047
2015,UTTAR PRADESH,204888457
2015,ANDHRA PRADESH,121591054
2015,KARNATAKA,119863942
2015,MAHARASHTRA,103403934
2015,TELENGANA,94516316
2015,MADHYA PRADESH,77975738
2015,WEST BENGAL,70193450
2015,GUJARAT,36288463
2015,RAJASTHAN,35187573
2016,TAMIL NADU,343812413
2016,UTTAR PRADESH,211707090
2016,ANDHRA PRADESH,153163352
2016,MADHYA PRADESH,150490339
2016,KARNATAKA,129762600
2016,MAHARASHTRA,116515801
2016,TELENGANA,95160830
2016,WEST BENGAL,74460250
2016,GUJARAT,42252909
2016,RAJASTHAN,41495115
2017,TAMIL NADU,385909376
2017,UTTAR PRADESH,233977619
2017,KARNATAKA,179980191
2017,ANDHRA PRADESH,165433898
2017,MAHARASHTRA,119191539
2017,TELENGANA,85266596
2017,WEST BENGAL,79687645
2017,MADHYA PRADESH,78038522
2017,GUJARAT,48343121
2017,RAJASTHAN,45916573
2018,TAMIL NADU,385909376
2018,UTTAR PRADESH,285079848
2018,KARNATAKA,214306456
2018,ANDHRA PRADESH,194767874
2018,MAHARASHTRA,119191539
2018,TELENGANA,92878329
2018,WEST BENGAL,85657365
2018,MADHYA PRADESH,83969799
2018,GUJARAT,54369873
2018,RAJASTHAN,50235643
2019,UTTAR PRADESH,535855162
2019,TAMIL NADU,494865257
2019,ANDHRA PRADESH,237051508
2019,KARNATAKA,227934714
2019,MAHARASHTRA,149294703
2019,WEST BENGAL,92366025
2019,MADHYA PRADESH,88707139
2019,TELENGANA,83035894
2019,GUJARAT,58864661
2019,RAJASTHAN,52220431
2020,TAMIL NADU,140651241
2020,UTTAR PRADESH,86122293
2020,KARNATAKA,77453339
2020,ANDHRA PRADESH,70828590
2020,TELENGANA,39997001
2020,MAHARASHTRA,39234591
2020,WEST BENGAL,28841732
2020,MADHYA PRADESH,23519632
2020,GUJARAT,19464517
2020,PUNJAB,16692197
